driver_code,risk_v6_module,amount_m,risk_signoff,notes
C501,Insurance underwriting,154.0,signed 13 Jan 2026,base underwriting
C502,Insurance underwriting,18.0,signed 13 Jan 2026,reserve/lapse stress
C503,Market,20.0,signed 13 Jan 2026,Risk treats longevity hedge overlay as market/collateral basis
C504,Market,92.0,signed 13 Jan 2026,interest/spread
C505,Market,15.0,signed 13 Jan 2026,with-profits guarantee
C506,Market,31.0,signed 13 Jan 2026,structured credit
C507,Counterparty credit,18.0,signed 13 Jan 2026,reinsurance concentration
C508,Counterparty credit,16.0,signed 13 Jan 2026,broker collateral
C509,Operational,42.0,signed 13 Jan 2026,includes model governance overlay of 4.0m
C510,Other / diversification allocation,49.0,signed 13 Jan 2026,tax/diversification allocation after operational overlay
