Ticket_ID,Account_ID,Opened_At_UTC,First_Response_At_UTC,First_Response_Type,Meaningful_Response_At_UTC,Resolved_At_UTC,Reported_Priority,Service_Area,Category,Impacted_Users,CRM_Tier_Snapshot,Channel,Internal_Test,Duplicate_Of,Cancelled,Major_Incident_Declared,Analyst_Notes
TCK-1001,ACC-100,2026-05-01 09:12,2026-05-01 09:14,Auto acknowledgement,2026-05-01 10:37,2026-05-01 12:37,P3,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,New user access to reporting folder
TCK-1002,ACC-240,2026-05-01 11:40,2026-05-01 11:42,Auto acknowledgement,2026-05-01 19:40,2026-05-01 21:40,P4,BI & Reporting,Report Request,3,Standard,Email,FALSE,,FALSE,FALSE,Ad hoc extract request
TCK-1003,ACC-200,2026-05-02 08:05,2026-05-02 08:15,Human reply,2026-05-02 08:15,2026-05-02 11:05,P1,Finance Systems,Major Outage,38,Gold,Phone,FALSE,,FALSE,TRUE,Finance posting outage; major incident opened
TCK-1004,ACC-210,2026-05-02 13:22,2026-05-02 13:24,Auto acknowledgement,2026-05-02 13:57,2026-05-02 16:22,P2,HR System,App Error,7,Standard,Portal,FALSE,,FALSE,FALSE,Payroll validation error
TCK-1005,ACC-110,2026-05-03 10:15,2026-05-03 10:17,Auto acknowledgement,2026-05-03 12:15,2026-05-03 14:15,P3,Data Platform,Data Issue,2,Standard,Portal,FALSE,,FALSE,FALSE,Small data correction request
TCK-1006,ACC-100,2026-05-03 15:32,2026-05-03 15:34,Auto acknowledgement,2026-05-03 20:32,2026-05-03 22:32,P4,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,Shared mailbox permission
TCK-1007,ACC-110,2026-05-04 09:05,2026-05-04 09:07,Auto acknowledgement,2026-05-04 12:45,2026-05-04 14:45,P3,Data Platform,Performance,4,Standard,Email,FALSE,,FALSE,FALSE,Slow dashboard refresh
TCK-1008,ACC-210,2026-05-04 10:10,2026-05-04 10:12,Auto acknowledgement,2026-05-04 11:30,2026-05-04 13:30,P2,HR System,App Error,6,Standard,Portal,FALSE,,FALSE,FALSE,Workflow error after release
TCK-1009,ACC-240,2026-05-05 14:45,2026-05-05 14:47,Auto acknowledgement,2026-05-06 02:35,2026-05-06 04:35,P4,BI & Reporting,Report Request,1,Standard,Email,FALSE,,FALSE,FALSE,Low priority extract
TCK-1010,ACC-120,2026-05-06 09:18,2026-05-06 09:20,Auto acknowledgement,2026-05-06 10:03,2026-05-06 12:18,P3,Data Platform,Data Issue,6,Standard,Portal,FALSE,,FALSE,FALSE,Data issue affecting six payroll users
TCK-1011,ACC-100,2026-05-06 11:05,2026-05-06 11:07,Auto acknowledgement,2026-05-06 11:35,2026-05-06 14:05,P3,Corporate Apps,App Error,2,Standard,Portal,FALSE,,FALSE,FALSE,Form submission failure
TCK-1012,ACC-100,2026-05-07 16:14,2026-05-07 16:16,Auto acknowledgement,2026-05-08 02:14,2026-05-08 04:14,P4,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,Permission change
TCK-1013,ACC-200,2026-05-08 08:50,2026-05-08 08:52,Auto acknowledgement,2026-05-08 09:49,2026-05-08 11:50,P2,Finance Systems,App Error,4,Gold,Phone,FALSE,,FALSE,FALSE,Posting screen error
TCK-1014,ACC-220,2026-05-08 12:35,2026-05-08 12:37,Auto acknowledgement,2026-05-08 15:55,2026-05-08 17:55,P3,BI & Reporting,Report Request,11,Standard,Email,FALSE,,FALSE,FALSE,Recurring board-pack extract failing for multiple Gold account users; CRM tier snapshot not refreshed
TCK-1015,ACC-120,2026-05-09 09:08,2026-05-09 09:10,Auto acknowledgement,2026-05-09 10:20,2026-05-09 12:20,P3,Data Platform,Data Issue,5,Standard,Portal,FALSE,,FALSE,FALSE,Data issue should be treated as effective P2
TCK-1016,ACC-100,2026-05-09 14:27,2026-05-09 14:29,Auto acknowledgement,2026-05-09 15:27,2026-05-09 17:27,P4,Corporate Apps,Access Request,1,Standard,Portal,FALSE,,FALSE,FALSE,Add distribution list member
