qp_ref,opened_datetime,closed_datetime,route_code,mes_label,old_label,line_ref,lot_ref,pallet_ref,source_event_ref,raw_class_at_open,final_class,qa_severity,disposition_code,stock_route_state,case_status,credit_case_ref,qa_note
QP-2507,08/05/2025 17:40,09/05/2025 09:20,FP3-A,F3_EXP,FP3,FP3,LOT-F3A-0429-L1,PAL-F3-3068,EVT-F3-0508-016,scuff_wrap,carton_scuff,trace,TRACE_CLOSED,TRACE_ONLY,closed,,old scuff prompt kept with QA link
QP-2510,19/05/2025 14:15,20/05/2025 08:36,FP4-A,F4_EXP,FP4,FP4,LOT-F4A-0503-D1,PAL-F4-4119,EVT-F4-0519-023,scuff_wrap,carton_scuff,trace,TRACE_CLOSED,TRACE_ONLY,closed,,old scuff prompt kept with QA link
QP-2511,02/05/2025 10:40,02/05/2025 15:05,FP1-A,F1_MAIN,FP1,FP1,LOT-F1A-0502-D1,PAL-F1-1119,EVT-F1-0502-002,barcode_read,barcode_contrast,minor,TABLE_CLOSED,ROUTE_CLEAR,closed,,table check closed same day
QP-2515,03/05/2025 09:31,06/05/2025 13:15,FP8-T,F8_TRIAL,FP8,FP8,LOT-F8T-0503-D1,PAL-F8-8108,EVT-F8-0503-057,seal_tamper,trial_seal_prompt,trial,TRIAL_REVIEW,TRIAL_QUEUE,closed,,trial carton prompt reviewed
QP-2516,05/05/2025 11:51,05/05/2025 17:42,FP3-A,F3_EXP,FP3,FP3,LOT-F3A-0505-D1,PAL-F3-3133,EVT-F3-0505-014,insert_missing,insert_absent,major,HELD_REWORKED,ROUTE_CLEAR,closed,,insert replaced before route close
QP-2518,06/05/2025 08:19,08/05/2025 12:10,FP7-A,F7_EXP,FP7,FP7,LOT-F7A-0506-D1,PAL-F7-7102,EVT-F7-0506-054,label_batch,label_batch_mark,supplier,SUPPLIER_COMPARE,SUPPLIER_REVIEW,closed,,batch mark compare requested
QP-2520,06/05/2025 13:45,06/05/2025 19:11,FP2-A,F2_MAIN,FP2,FP2,LOT-F2A-0506-D2,PAL-F2-2130,EVT-F2-0506-008,barcode_read,barcode_contrast,minor,TABLE_CLOSED,ROUTE_CLEAR,closed,,contrast check closed
QP-2521,06/05/2025 14:35,07/05/2025 10:18,FP3-A,F3_EXP,FP3,FP3,LOT-F3A-0506-D1,PAL-F3-3140,EVT-F3-0506-015,seal_tamper,seal_edge,major,HELD_REWORKED,ROUTE_CLEAR,closed,,seal strip replaced before route close
QP-2522,07/05/2025 09:59,07/05/2025 15:28,FP4-A,F4_EXP,FP4,FP4,LOT-F4A-0507-D1,PAL-F4-4144,EVT-F4-0507-020,insert_missing,insert_absent,major,HELD_REWORKED,ROUTE_CLEAR,closed,,insert replaced at table
QP-2524,06/05/2025 09:19,06/05/2025 16:40,FP5-A,F5_RGD,FP5,FP5,LOT-F5A-0506-D1,PAL-F5-5142,EVT-F5-0506-026,insert_missing,accessory_missing,major,HELD_REWORKED,ROUTE_CLEAR,closed,,accessory view held and corrected
QP-2525,06/05/2025 10:21,06/05/2025 18:12,FP6-A,F6_MAIN,FP6,FP6,LOT-F6A-0506-D1,PAL-F6-1819,EVT-F6-0506-036,insert_missing,accessory_missing,major,HELD_REWORKED,ROUTE_CLEAR,closed,,accessory replaced before route close
QP-2527,09/05/2025 09:53,14/05/2025 16:33,FP1-A,F1_MAIN,FP1,FP1,LOT-F1A-0509-D1,PAL-F1-1190,EVT-F1-0509-005,label_position,label_position,minor,TABLE_CLOSED,ROUTE_CLEAR,closed,,operator table clear after review
QP-2529,08/05/2025 14:01,13/05/2025 11:09,FP8-T,F8_TRIAL,FP8,FP8,LOT-F8T-0508-D1,PAL-F8-8144,EVT-F8-0508-058,insert_missing,trial_insert_prompt,trial,TRIAL_REVIEW,TRIAL_QUEUE,closed,,trial insert prompt kept in review set
QP-2530,10/05/2025 21:38,11/05/2025 08:22,FP4-A,F4_EXP,FP4,FP4,LOT-F4A-0510-N1,PAL-F4-4170,EVT-F4-0510-021,seal_tamper,seal_edge,major,HELD_REWORKED,ROUTE_CLEAR,closed,,night seal strip replaced
